type,title,cast,release_year,duration,listed_in,plataform
TV Show,Little Lunch,"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena",2015,1,"Kids' TV, TV Comedies",netflix
Movie,Little Lunch: The Halloween Horror Story,"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena, Wayne Hope",2016,23,"Children & Family Movies, Comedies",netflix
Movie,Little Lunch: The Nightmare Before Graduation,"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena, Wayne Hope",2016,25,"Children & Family Movies, Comedies",netflix
Movie,Little Men,"Greg Kinnear, Jennifer Ehle, Paulina García, Alfred Molina, Michael Barbieri, Theo Taplitz, Talia Balsam, Maliq Johnson, Anthony A. Flamminio, Madison Wright, John Procaccino",2016,85,"Dramas, Independent Movies",netflix
Movie,Little Nicky,"Adam Sandler, Patricia Arquette, Harvey Keitel, Rhys Ifans, Allen Covert, Tommy 'Tiny' Lister, Kevin Nealon, Jon Lovitz, Michael McKean, Quentin Tarantino",2000,90,Comedies,netflix
Movie,Little Singham aur Kaal ka Mahajaal,,2018,68,"Children & Family Movies, Comedies",netflix
Movie,Little Singham Bandarpur Mein Hu Ha Hu,"Anamaya Verma, Ganesh Divekar, Jigna Bharadhwaj, Jitendra Dasadiva, Manoj Pandey, Manish Bhuvan, Meena Nahta, Neshma Chemburkar, Saumya Daan, Sonal Kaushal",2019,67,"Children & Family Movies, Comedies",netflix
Movie,Little Singham in London,,2019,66,"Children & Family Movies, Comedies",netflix
Movie,Little Sister,"Addison Timlin, Ally Sheedy, Keith Poulson, Peter Hedges, Barbara Crampton, Kristin Slaysman, Molly Plunk",2016,91,"Comedies, Dramas, Independent Movies",netflix
TV Show,Liv and Maddie,"Dove Cameron, Joey Bragg, Tenzing Norgay Trainor, Kali Rocha, Benjamin King",2017,4,"Kids' TV, TV Comedies",netflix
Movie,Lizzie Borden Took an Ax,"Christina Ricci, Clea DuVall, Gregg Henry, Stephen McHattie, Shawn Doyle, Sara Botsford, Hannah Emily Anderson, Andrea Runge, Billy Campbell, Jennifer Kydd, Kirstin Howell, John Maclaren",2014,87,Thrillers,netflix
Movie,Lo and Behold: Reveries of the Connected World,Werner Herzog,2016,98,Documentaries,netflix
TV Show,Lo que la verdad esconde: El caso Asunta (Operacion Nenúfar),,2017,1,"Crime TV Shows, Docuseries, International TV Shows",netflix
TV Show,Lo que la vida me robó,"Angelique Boyer, Sebastián Rulli, Luis Roberto Guzmán, Osvaldo Benavides, Daniela Castro, Ana Bertha Espín, Gabriela Rivero, Alejandro Ávila, Alejandra García, Carlos de la Mota, Sergio Sendel, Ferdinando Valencia, Grettell Valdez, Verónica Jaspeado, Margarita Magaña, Alexis Ayala, Alejandra Procuna, Juan Carlos Barreto",2013,1,"Crime TV Shows, International TV Shows, Romantic TV Shows",netflix
Movie,"Lock, Stock and Two Smoking Barrels","Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, Steven Mackintosh, Nicholas Rowe, Nick Marcq, Charles Forbes, Vinnie Jones, Lenny McLean",1998,108,"Action & Adventure, Comedies, Independent Movies",netflix
Movie,Locke,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott, Ben Daniels, Tom Holland, Bill Milner, Danny Webb, Alice Lowe, Silas Carson",2013,85,"Dramas, Independent Movies",netflix
Movie,Lockout,"Guy Pearce, Maggie Grace, Joseph Gilgun, Vincent Regan, Lennie James, Peter Stormare, Jacky Ido, Tim Plester, Mark Tankersley, Anne-Solenne Hatte",2012,95,"Action & Adventure, International Movies, Sci-Fi & Fantasy",netflix
Movie,Loco Love,"Evan Deverian, Melany Bennet, Jordan T. Wilson, Adan Martín Rocha",2017,103,"Dramas, Independent Movies, International Movies",netflix
Movie,Logan's Run,"Michael York, Richard Jordan, Farrah Fawcett, Jenny Agutter, Peter Ustinov, Roscoe Lee Browne, Randolph Roberts, Gary Morgan, Greg Lewis",1976,118,"Action & Adventure, Classic Movies, Cult Movies",netflix
TV Show,LoliRock,"Kazumi Evans, Kelly Sheridan, Vincent Tong, Ashleigh Ball, Tabitha St. Germain, Mackenzie Gray, Matt Ellis, James Kirk, Chiara Zanni",2016,2,Kids' TV,netflix
Movie,Lolita,"James Mason, Shelley Winters, Peter Sellers, Sue Lyon, Gary Cockrell, Jerry Stovin, Diana Decker, Lois Maxwell, Cec Linder",1962,153,"Classic Movies, Dramas, Romantic Movies",netflix
