type,title,cast,release_year,duration,listed_in,plataform
Movie,Battle: Los Angeles,"Aaron Eckhart, Michelle Rodriguez, Ramon Rodriguez, Bridget Moynahan, Ne-Yo, Michael Peña, Lucas Till, Cory Hardrict, Adetokumboh M'Cormack, Jim Parrack",2011,116,"Action & Adventure, Sci-Fi & Fantasy",netflix
Movie,Between Worlds,"Nicolas Cage, Franka Potente, Penelope Mitchell, Garrett Clayton, Lydia Hearst, Hopper Penn",2018,91,Thrillers,netflix
TV Show,Fatma,"Burcu Biricik, Uğur Yücel, Mehmet Yılmaz Ak, Hazal Türesan, Gülçin Kültür Şahin, Olgun Toker, Çağdaş Onur Öztürk, Şehsuvar Aktaş, Deniz Şen Hamzaoğlu, Didem İnselel",2021,1,"International TV Shows, TV Dramas, TV Thrillers",netflix
Movie,One,"Mammootty, Joju George, Murali Gopy, Mathew Thomas, Nimisha Sajayan, Salim Kumar, Gayathri Arun, Ishaani Krishna",2020,149,"Dramas, International Movies",netflix
Movie,Ram Prasad Ki Tehrvi,"Supriya Pathak, Parambrata Chatterjee, Konkona Sen Sharma, Vikrant Massey, Manoj Pahwa, Vinay Pathak, Ninad Kamat, Naseeruddin Shah",2019,113,"Dramas, Independent Movies, International Movies",netflix
Movie,Shadow and Bone - The Afterparty,"David Spade, London Hughes, Fortune Feimster, Ben Barnes, Jessie Mei Li, Archie Renaux, Amita Suman, Freddy Carter, Kit Young",2021,33,"Action & Adventure, Comedies, Dramas",netflix
Movie,Among Family,"Engin Günaydın, Demet Evgar, Erdal Özyağcılar, Su Kutlu, Devrim Yakut, Fatih Artman, Gülse Birsel, Şevket Çoruh, Derya Karadaş, Devin Özgür Çınar",2017,127,"Comedies, International Movies",netflix
Movie,Dedemin Fisi,"Onur Buldu, Alper Kul, Erdem Yener, Onur Atilla, Özge Borak, Doğa Rutkay, Meltem Yılmazkaya, İrem Sak",2016,101,"Comedies, International Movies",netflix
Movie,Deliha,"Gupse Özay, Barış Arduç, Cihan Ercan",2014,102,"Comedies, International Movies, Romantic Movies",netflix
Movie,Düğün Dernek,"Ahmet Kural, Murat Cemcir, Rasim Öztekin, Devrim Yakut, Barış Yıldız, İnan Ulaş Torun, Zerrin Sümer, Şinasi Yurtsever",2013,102,"Comedies, International Movies",netflix
Movie,Dügün Dernek 2: Sünnet,"Ahmet Kural, Murat Cemcir, Rasim Öztekin, Devrim Yakut, Barış Yıldız, İnan Ulaş Torun, Şinasi Yurtsever, Erdal Tosun",2015,107,"Comedies, International Movies",netflix
Movie,G.O.R.A,"Cem Yılmaz, Rasim Öztekin, Özkan Uğur, İdil Fırat, Şafak Sezer, Özge Özberk, Erdal Tosun, Cezmi Baskın, Ozan Güven, Engin Günaydın",2004,123,"Action & Adventure, Comedies, International Movies",netflix
Movie,Hayat Öpücügü,"Ali Sunal, Hatice Şendil, Ayda Aksel, Ahmet Saraçoğlu, Janset, Zerrin Sümer, Somer Karvan, Ali Çelik",2015,98,"Comedies, Dramas, International Movies",netflix
Movie,Heroes: Silence and Rock & Roll,"Enrique Bunbury, Juan Valdivia, Joaquín Cardiel, Pedro Andreu",2021,95,"Documentaries, International Movies, Music & Musicals",netflix
Movie,Kara Bela,"Cengiz Bozkurt, Seda Bakan, Erkan Kolçak Köstendil, Cihan Ercan, Berat Yenilmez, İştar Gökseven, Erdal Tosun, Tarık Ünlüoğlu",2015,101,"Comedies, International Movies",netflix
Movie,Kocan Kadar Konus,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Ebru Cündübeyoğlu, Eda Ece, Begüm Öner, Gül Arıcı, Muhammet Uzuner",2015,104,"Comedies, International Movies, Romantic Movies",netflix
Movie,Kocan Kadar Konus 2: Dirilis,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Nevra Serezli, Eda Ece",2016,104,"Comedies, International Movies, Romantic Movies",netflix
Movie,Legal Hash,"Tony Issa, Rita Harb, Fadee Andrawos, Majed Geagea, Hagob De Jerejian, Adnan Dirani, Khitam el Leham, Joelle Frenn, Stephanie Salem, Mabelle Soueid, Joseph Abboud",2019,103,"Comedies, International Movies",netflix
TV Show,Let's Fight Ghost,"Suppapong Udomkaewkanjana, Patchanan Jiajirachote, Thongpoom Siripipat, Apiwit Reardon, Kornrawich Sungkitbool, Waratthaya Wongchayaporn, Wannasak Sirilar",2021,1,"International TV Shows, Romantic TV Shows, TV Comedies",netflix
Movie,My Travel Buddy,"Oğuzhan Koç, İbrahim Büyükak, Emre Kınay, Aslı Bekiroğlu, Eda Ece, Bahar Şahin, Muharrem Bayrak, Toygan Avanoğlu",2017,111,"Comedies, International Movies",netflix
Movie,Niyazi Gül Dörtnala,"Ata Demirer, Demet Akbağ, Şebnem Bozoklu, Levent Ülgen",2015,102,"Comedies, International Movies",netflix
Movie,One Like It,"Riham Abdel Ghafour, Mohammed Aly Rizk, Hazem Samir, Salwa Othman, Mahmoud Gharib",2020,15,"Dramas, Independent Movies, International Movies",netflix
Movie,Perfume Imaginary Museum “Time Warp”,Perfume,2020,54,"International Movies, Music & Musicals",netflix
TV Show,Shadow and Bone,"Jessie Mei Li, Archie Renaux, Ben Barnes, Freddy Carter, Amita Suman, Kit Young, Danielle Galligan, Calahan Skogman, Sujaya Dasgupta, Simon Sears, Daisy Head, Zoë Wanamaker, Luke Pasqualino, Julian Kostov",2021,1,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",netflix
Movie,This Lady Called Life,"Bisola Aiyeola, Efa Iwara, Molawa Onajobi, Tina Mba, Wale Ojo, Jemima Osunde, Lota Chukwu, Samuel Asa'ah, Michael Ejoor, Uche Elumelu",2020,120,"Dramas, International Movies, Romantic Movies",netflix
Movie,Vizontele,"Yılmaz Erdoğan, Demet Akbağ, Altan Erkekli, Cem Yılmaz, Cezmi Baskın, Bican Günalan, Sebnem Sönmez, İclal Aydın, Mesut Çakarli, Zeynep Tokuş",2001,106,"Comedies, Dramas, International Movies",netflix
Movie,HOMUNCULUS,"Go Ayano, Ryo Narita, Yukino Kishii, Anna Ishii, Seiyo Uchino",2021,116,"Horror Movies, International Movies, Thrillers",netflix
TV Show,Life in Color with David Attenborough,David Attenborough,2021,1,"British TV Shows, Docuseries, International TV Shows",netflix
Movie,Searching For Sheela,Ma Anand Sheela,2021,58,"Documentaries, International Movies",netflix
Movie,Stowaway,"Anna Kendrick, Toni Collette, Daniel Dae Kim, Shamier Anderson",2021,116,"Dramas, International Movies, Thrillers",netflix
Movie,Wild Dog,"Nagarjuna Akkineni, Dia Mirza, Saiyami Kher, Atul Kulakarni, Bilal Hussain, Ali Reza, Mayank Parakh",2020,126,"Action & Adventure, International Movies",netflix
Movie,Oloibiri,"Olu Jacobs, Richard Mofe-Damijo, William R. Moses, Taiwo Ajai-Lycett, Ifeanyi Williams, Ivie Okujaye, Dayton Sinkia, Bradley Gordon",2015,86,"Dramas, International Movies, Thrillers",netflix
Movie,Tell Me When,"Jesús Zavala, Ximena Romo, Verónica Castro, José Carlos Ruiz, Gabriel Nuncio, Rosa María Bianchi, Héctor Bonilla, Andrés Almeida",2021,97,"Comedies, International Movies",netflix
TV Show,Zero,"Giuseppe Dave Seke, Haroun Fall, Beatrice Grannò, Dylan Magon, Daniela Scattolin, Madior Fall, Virgina Diop",2021,1,"International TV Shows, TV Comedies, TV Dramas",netflix
TV Show,Izzy's Koala World,"Izzy Bee, Ali Bee, Tim Bee",2021,2,Kids' TV,netflix
Movie,Keymon and Nani in Space Adventure,,2013,76,"Children & Family Movies, Comedies",netflix
Movie,Motu Patlu Dino Invasion,"Sourav Chakraborty, Mayur Vyas, Anil Datt",2018,80,"Children & Family Movies, Comedies",netflix
Movie,Motu Patlu in Octupus World,"Sourav Chakraborty, Vidit Kumar, Mayur Vyas, Mahendra Bhatnagar, Dishi Duggal, Nandkishore Pandey",2017,81,"Children & Family Movies, Comedies",netflix
Movie,Motu Patlu VS Robo Kids,"Sourav Chakraborty, Anil Dutt",2019,84,Children & Family Movies,netflix
Movie,Rudra: Secret of the Black Moon,"Shailendra Pandey, Vinod Kulkarni, Rohan, Mukesh Pandey, Bhakti Shalini, Ghanshyam Shukla, Pankaj Kalra, Kanchan, Sanchit Wartak, Ajay Singhal",2020,87,Children & Family Movies,netflix
Movie,Rudra: The Rise of King Pharaoh,"Shailendra Pandey, Rohan, Mukesh Pandey, Bhakti, Shalini, Ghanshyam Shukla, Sabina Malik",2019,91,Children & Family Movies,netflix
Movie,Free to Play,,2014,76,Documentaries,netflix
TV Show,Luis Miguel - The Series,"Diego Boneta, Juan Pablo Zurita, Camila Sodi, Óscar Jaenada, Izan Llunas, Paulina Dávila, Martín Bello, Anna Favella, César Bordón, Vanessa Bauche",2021,2,"International TV Shows, Spanish-Language TV Shows, TV Dramas",netflix
Movie,Miss Sloane,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw, Michael Stuhlbarg, Raoul Bhaneja, John Lithgow, Sam Waterston, Chuck Shamata, Jake Lacy, Alison Pill, David Wilson Barnes",2016,132,Thrillers,netflix
TV Show,PJ Masks,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley",2019,3,Kids' TV,netflix
Movie,American Me,"Edward James Olmos, William Forsythe, Pepe Serna, Danny De La Paz, Evelina Fernandez, Cary-Hiroyuki Tagawa, Daniel Villarreal, Sal Lopez, Daniel Haro, Domingo Ambriz",1992,126,Dramas,netflix
Movie,Delhi Belly,"Imran Khan, Vir Das, Kunaal Roy Kapur, Poorna Jagannathan, Shenaz Treasury, Vijay Raaz, Paresh Ganatra, Rahul Singh",2011,101,"Action & Adventure, Comedies, International Movies",netflix
Movie,Dhobi Ghat (Mumbai Diaries),"Aamir Khan, Monica Dogra, Kriti Malhotra, Prateik Babbar, Aasha Pawar, Jyoti Pawar, Norma Lobo, Kitu Gidwani, Danish Husain, Jehan Manekshaw",2010,102,"Dramas, International Movies",netflix
Movie,Jaane Tu... Ya Jaane Na,"Imran Khan, Genelia D'Souza, Manjari Fadnis, Ayaz Khan, Prateik Babbar, Ratna Pathak Shah, Arbaaz Khan, Sohail Khan",2008,147,"Comedies, International Movies, Music & Musicals",netflix
Movie,Lagaan,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Kulbhushan Kharbanda, Raghuvir Yadav, Yashpal Sharma, Rajendranath Zutshi, Rajesh Vivek, Aditya Lakhia",2001,224,"Dramas, International Movies, Music & Musicals",netflix
Movie,Madness in the Desert,"Aamir Khan, Ashutosh Gowariker",2004,141,"Documentaries, International Movies",netflix
Movie,Peepli Live,"Omkar Das Manikpuri, Raghuvir Yadav, Malaika Shenoy, Nawazuddin Siddiqui, Naseeruddin Shah, Sitaram Panchal, Shalini Vatsa, Farrukh Jaffar, Aamir Bashir, Vishal Om Prakash",2010,109,"Comedies, Dramas, Independent Movies",netflix
Movie,Taare Zameen Par,"Aamir Khan, Darsheel Safary, Tanay Chheda, Tisca Chopra, Vipin Sharma, Girija Oak, M.K. Raina",2007,162,"Dramas, International Movies",netflix
Movie,Ajeeb Daastaans,"Fatima Sana Shaikh, Jaideep Ahlawat, Armaan Ralhan, Nushrat Bharucha, Abhishek Banerjee, Inayat Verma, Konkona Sen Sharma, Aditi Rao Hydari, Shefali Shah, Manav Kaul, Tota Roy Chowdhury",2021,142,"Dramas, Independent Movies, International Movies",netflix
Movie,Arlo the Alligator Boy,"Michael J. Woodard, Mary Lambert, Brett Gelman, Jonathan Van Ness, Tony Hale, Haley Tju, Annie Potts, Vincent Rodriguez III, Flea, Jennifer Coolidge",2021,93,"Children & Family Movies, Comedies, Music & Musicals",netflix
TV Show,Bakugan: Geogan Rising,"Jonah Wineberg, Margarita Valderrama, Deven Christian Mack, Jaimee Joe Gonzaga, Sharjil Rasool, Will Bowes, Jason Deline, Dan Petronijevic, Carling Doubt, Joshua Graham, Cory Doran",2021,1,"Anime Series, Kids' TV",netflix
Movie,Barbie & Chelsea: The Lost Birthday,"America Young, Cassidy Naber, Kirsten Day, Cassandra Morris, Lisa Fuson, Greg Chun, Benjamin Pronsky, Laila Berzins, Nakia Burrise, Jacob Craner",2021,60,Children & Family Movies,netflix
Movie,Crimson Peak,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver, Burn Gorman, Leslie Hope, Doug Jones, Jonathan Hyde, Bruce Gray",2015,119,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy",netflix
Movie,Dad Stop Embarrassing Me - The Afterparty,"David Spade, London Hughes, Fortune Feimster, Jamie Foxx, David Alan Grier, Kyla-Drew, Porscha Coleman, Jonathan Kite, Corinne Foxx",2021,37,Comedies,netflix
Movie,Doctor Bello,"Isaiah Washington, Vivica A. Fox, Jimmy Jean-Louis, Genevieve Nnaji, Stephanie Okereke, Justus Esiri, Ebbe Bassey, Jon Freda, Evan Brinkman",2013,96,"Dramas, International Movies",netflix
Movie,Four Sisters Before the Wedding,"Alexa Ilacad, Charlie Dizon, Gillian Vicencio, Belle Mariano, Dominic Ochoa, Carmina Villaroel, Irma Adlawan, Kakai Bautista, Cai Cortez, Jameson Blake, Joao Constancia, Jeremiah Lisbo, Clarence Delgado, Pinky Amador, Minnie Aguilar, Gigi De Lana, Toni Gonzaga, Bea Alonzo, Angel Locsin, Shaina Magdayao, Enchong Dee",2020,116,"Children & Family Movies, Comedies, Dramas",netflix
Movie,Into the Beat,"Alexandra Pfeifer, Yalany Marschner, Trystan Pütter, Helen Schneider, Julius Nitschkoff, Dennis Kyere, Ina Geraldine Guy, Katrin Pollitt, Julia Strowski, Anton Wichers",2020,102,"Dramas, International Movies, Romantic Movies",netflix
TV Show,Love Naggers,"Seo Jang-hoon, Kim Sook, Han Hye-jin, Kwak Jung-eun, Ju Wu-jae",2021,1,"International TV Shows, Stand-Up Comedy & Talk Shows",netflix
Movie,Rush,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie",2013,123,"Action & Adventure, Dramas, International Movies",netflix
Movie,Synchronic,"Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr.",2020,102,Thrillers,netflix
Movie,The Zookeeper's Wife,"Jessica Chastain, Johan Heldenbergh, Daniel Brühl, Timothy Radford, Efrat Dor, Iddo Goldberg, Shira Haas, Michael McElhatton, Val Maloku, Goran Kostic",2017,127,Dramas,netflix
Movie,Time Trap,"Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari",2017,88,"Action & Adventure, Sci-Fi & Fantasy",netflix
Movie,Tuesdays & Fridays,"Anmol Thakeria Dhillon, Jhataleka, Niki Walia, Kamini Khanna, Zoa Morani, Nayan Shukla, Eklavyey Kashyap, Reem Shaikh",2021,106,"Comedies, Dramas, International Movies",netflix
TV Show,Dancing Angels,,2016,1,"International TV Shows, Romantic TV Shows, TV Comedies",netflix
Movie,Dark City Beneath the Beat,"Uneek, Mighty Mark, Tsu Terry, TT The Artist",2020,65,"Documentaries, Music & Musicals",netflix
TV Show,Durarara!!,"Toshiyuki Toyonaga, Miyuki Sawashiro, Mamoru Miyano, Kana Hanazawa, Hiroshi Kamiya, Daisuke Ono, Jun Fukuyama, Yuichi Nakamura, Yuki Kaji, Ayahi Takagaki, Kazuma Horie, Sanae Kobayashi, Takaya Kuroda, Kari Wahlgren, Darrel Guilbeau, Bryce Papenbrook, Michelle Ruff, Johnny Yong Bosch, Crispin Freeman, Yuri Lowenthal, Steve Blum",2016,1,"Anime Series, Crime TV Shows, International TV Shows",netflix
Movie,GANTZ:O,"Daisuke Ono, M・A・O, Tomohiro Kaku, Saori Hayami, Shuichi Ikeda, Kendo Kobayashi, Razor Ramon RG, Razor Ramon HG, Masane Tsukayama, Masaya Onosaka, Kenjiro Tsuda, Teruaki Ogawa, Hisanori Yoshida, Yuki Kaji",2016,96,"Action & Adventure, Anime Features, Horror Movies",netflix
TV Show,Garth Brooks: The Road I’m On,Garth Brooks,2019,1,Docuseries,netflix
TV Show,Gilmore Girls,"Lauren Graham, Alexis Bledel, Scott Patterson, Keiko Agena, Yanic Truesdale, Kelly Bishop, Edward Herrmann, Melissa McCarthy, Sean Gunn, Liza Weil, Liz Torres, Jared Padalecki",2006,7,"Romantic TV Shows, TV Comedies, TV Dramas",netflix
TV Show,High-Rise Invasion,"Haruka Shiraishi, Shiki Aoki, Akira Sekine, Junya Enoki, Yuuichirou Umehara, Megumi Ogata, Shoya Chiba, Makoto Furukawa, Seiro Ogino, Koji Yusa, Chika Anzai, Asami Seto, Shizuka Ito, Juri Kimura, Kaito Ishikawa, Yoko Hikasa, Jun Fukuyama",2021,1,"Anime Series, International TV Shows, TV Thrillers",netflix
TV Show,Next in Fashion,"Tan France, Alexa Chung",2020,1,Reality TV,netflix
Movie,Only Mine,"Amber Midthunder, Brett Zimmerman, Chris Browning, Walter Fauntleroy, Claudia Ferri, Lorenzo James Henrie, Ellen Wroe, Ashley Holliday Tavares, Nancy Linehan Charles, Jonna Walsh",2019,88,Thrillers,netflix
TV Show,Peasants Rebellion,"Ward El Kal, Aimée Sayah, Bassem Moughnie, Carlos Azar, Sara Abi Kanaan, Wesam Hanna",2018,1,"International TV Shows, TV Dramas",netflix
TV Show,Power Players,"Kieran Walton, Carlos Salazar, Greg Chun, Jamieson Price, Reba Buhr, Todd Haberkorn, Landon McDonald, Scott Whyte, Paul Haapaniemi",2020,3,Kids' TV,netflix
TV Show,Ricky Zoom,"Max Fincham, Twinkle Jaiswal, Bradley Bissett, Dylan Naden, Adam Longworth, Ashton Frank, Edward Moloney, Esther Coles, Jess Robinson, Miranda Pointer, Osian Thompson, Simon Lipkin, Richard David-Caine",2019,1,"British TV Shows, Kids' TV",netflix
Movie,Ride or Die,"Kiko Mizuhara, Honami Sato, Yoko Maki, Anne Suzuki, Tetsushi Tanaka, Sara Minami, Yui Uemura, Shinya Niiro, Shunsuke Tanaka, Setsuko Karasuma",2021,143,"Dramas, International Movies, LGBTQ Movies",netflix
TV Show,Sonic X,"Junichi Kanemaru, Sanae Kobayashi, Ryo Hirohashi, Taeko Kawata, Nobutoshi Canna, Koji Yusa, Rumi Ochiai, Sayaka Aoki, Chikao Otsuka",2003,2,"Anime Series, Kids' TV",netflix
Movie,The Master,"Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Laura Dern, Kevin J. O'Connor, Jesse Plemons, Rami Malek, Christopher Evan Welch, Madisen Beaty, Ambyr Childers, Price Carson",2012,137,"Dramas, Independent Movies",netflix
Movie,Time Is Illmatic,"Nasir 'Nas' Jones, Busta Rhymes, Pete Rock, Pharrell Williams, Q-Tip, Swizz Beatz, Alicia Keys, DJ Premier",2014,75,"Documentaries, Music & Musicals",netflix
Movie,Wave of Cinema: One Day We'll Talk About Today,"Isyana Sarasvati, Kunto Aji, Sisir Tanah, Chiki Fawzi, ARAH, Hindia, Ardhito Pramono, Rio Dewanto, Angga Dwimas Sasongko, Rachel Amanda",2020,71,"Documentaries, International Movies, Music & Musicals",netflix
Movie,Zoot Suit,"Daniel Valdez, Edward James Olmos, Charles Aidman, Tyne Daly, John Anderson, Abel Franco, Mike Gomez, Francis X. McCarthy, Alma Martínez, Lupe Ontiveros, Tony Plana",1981,103,"Cult Movies, Dramas, Music & Musicals",netflix
TV Show,Ajaibnya Cinta,,2015,1,"International TV Shows, TV Dramas",netflix
TV Show,Dad Stop Embarrassing Me!,"Jamie Foxx, David Alan Grier, Kyla-Drew, Porscha Coleman, Jonathan Kite, Heather Hemmens, Valente Rodriguez",2021,1,TV Comedies,netflix
TV Show,Fate: The Winx Saga,"Abigail Cowen, Hannah Van Der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum, Danny Griffin, Sadie Soverall, Freddie Thorp, Rob James-Collier, Eve Best, Lesley Sharp",2021,1,"British TV Shows, International TV Shows, TV Dramas",netflix
TV Show,House of Cards,"Kevin Spacey, Robin Wright, Kate Mara, Corey Stoll, Sakina Jaffrey, Kristen Connolly, Constance Zimmer, Sebastian Arcelus, Nathan Darrow, Sandrine Holt, Michel Gill, Elizabeth Norment, Mahershala Ali, Reg E. Cathey, Molly Parker, Derek Cecil, Elizabeth Marvel, Kim Dickens, Lars Mikkelsen, Michael Kelly, Joel Kinnaman, Campbell Scott, Patricia Clarkson, Neve Campbell",2018,6,"TV Dramas, TV Thrillers",netflix
TV Show,Indian Matchmaking,,2020,1,"Reality TV, Romantic TV Shows",netflix
TV Show,Jeffrey Epstein: Filthy Rich,,2020,1,"Crime TV Shows, Docuseries",netflix
TV Show,Law School,"Kim Myung-min, Kim Beom, Ryu Hye-young, Lee Jung-eun, Park Hyuk-kwon, An Nae-sang, Chung Won-joong, Lee Su-kyoung, Lee David, Go Youn-jung, Hyunwoo",2021,1,"Crime TV Shows, International TV Shows, TV Dramas",netflix
TV Show,Living with Yourself,"Paul Rudd, Aisling Bea, Desmin Borges, Zoë Chao, Karen Pittman",2019,1,"TV Comedies, TV Dramas",netflix
TV Show,Signal,"Kim Hye-su, Lee Je-hoon, Cho Jin-woong, Jang Hyun-sung, Jeong Hae-gyoon, Kim Won-hae, Jung Han-bi, Lee Yu-jun, Son Hyeon-ju",2016,1,"Crime TV Shows, International TV Shows, Korean TV Shows",netflix
TV Show,Slasher,"Katie McGrath, Brandon Jay McLaren, Steve Byers, Patrick Garrow, Dean McDermott, Christopher Jacot, Wendy Crewson, Leslie Hope, Lovell Adams-Gray, Jim Watson, Paulino Nunes, Ty Olsson, Joanne Vannicola, Sebastian Pigott, Madison Cheeatow, Melinda Shankar, Kaitlyn Leeb, Rebecca Liddiard, Paula Brancati, Salvatore Antonio, Lisa Berry, Gabriel Darku, Erin Karpluk, Mercedes Morris, Ilan Muallem, Baraka Rahmani, Rosie Simon, Robert Cormier",2019,3,"TV Horror, TV Mysteries, TV Thrillers",netflix
Movie,The Soul,"Chang Chen, Janine Chang, Christopher Lee, Anke Sun, Lin Hui-min, Samuel Ku, Zhang Bojia, Lu Hsueh-feng",2021,130,"Dramas, International Movies, Thrillers",netflix
TV Show,The Underclass,"Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop",2020,1,"International TV Shows, TV Dramas, Teen TV Shows",netflix
TV Show,Unnatural Selection,,2019,1,"Docuseries, Science & Nature TV",netflix
Movie,Uppena,"Panja Vaisshnav Tej, Krithi Shetty, Vijay Sethupathi",2020,145,"Dramas, International Movies, Romantic Movies",netflix
Movie,Why Did You Kill Me?,,2021,84,Documentaries,netflix
Movie,Motu Patlu in Hong Kong: Kung Fu Kings 3,"Saurav Chakraborty, Sankalp Rastogi, Anamaya Varma, Aditya Raaj, Manoj Pandey",2017,84,"Children & Family Movies, Music & Musicals",netflix
Movie,Motu Patlu in the City of Gold,"Saurav Chakraborty, Ganesh Diweker, Arpita Vora, Manoj Pandey, Mayur Vyas, Sanjeev Tiwari, Nandkishore Pandey, Aditya Raaj",2018,77,"Children & Family Movies, Comedies, Music & Musicals",netflix
Movie,Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,"Saurav Chakraborty, Sanket Mhatre, Kamal Chaturvedi, Warren Dsouza, Trilok Patel, Manish Bhuvan",2018,86,"Children & Family Movies, Music & Musicals",netflix
Movie,Motu Patlu the Superheroes – Super Villains from Mars,Saurav Chakraborty,2019,79,Children & Family Movies,netflix
TV Show,My Love: Six Stories of True Love,,2021,1,Docuseries,netflix
Movie,Shiva VS Autobots,,2018,80,Children & Family Movies,netflix
Movie,Shiva: Journey to Plunotaria,,2019,81,Children & Family Movies,netflix
Movie,Shiva: The Secret World Of Vedas City,,2017,78,Children & Family Movies,netflix
TV Show,The Baker and the Beauty,"Victor Rasuk, Nathalie Kelley, Dan Bucatinsky, David Del Rio, Michelle Veintimilla, Lisa Vidal, Carlos Gómez, Belissa Escobedo",2020,1,"Romantic TV Shows, TV Comedies, TV Dramas",netflix
Movie,New Gods: Nezha Reborn,"Yang Tianxiang, Zhang He, Xuan Xiaoming, Li Shimeng",2021,118,"Action & Adventure, Anime Features, International Movies",netflix
TV Show,"Nicky, Ricky, Dicky & Dawn","Brian Stepanek, Allison Munn, Aidan Gallagher, Casey Simpson, Mace Coronel, Lizzy Greene",2018,4,"Kids' TV, TV Comedies",netflix
TV Show,Don't be the First one,"Park Mi-sun, Jang Do-youn",2021,1,"International TV Shows, Reality TV",netflix
Movie,The Stand-In,"Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor, Ellie Kemper, Andrew Rannells, Michelle Buteau",2020,102,Comedies,netflix
TV Show,Heaven Official's Blessing,"Jiang Guangtao, Ma Zhengyang, Wen Sen, Hu Liangwei, Huang Ying",2020,1,"Anime Series, International TV Shows, Romantic TV Shows",netflix
Movie,Night in Paradise,"Um Tae-goo, Jeon Yeo-been, Cha Seoung-won, Lee Ki-young, Park Ho-san",2021,132,"Dramas, International Movies",netflix
Movie,Ojukokoro: Greed,"Seun Ajayi, Zainab Balogun, Sammie Eddie, Linda Ejiofor, Charles Etubiebi, Shawn Faqua, Lord Frank, Ikubese Emmanuel Ifeanyi, Somkele Iyamah, Ali Nuhu, Wale Ojo",2016,108,"Dramas, International Movies, Thrillers",netflix
Movie,Roohi,"Rajkummar Rao, Varun Sharma, Janhvi Kapoor, Manav Vij, Sarita Joshi, Anuraag Arora, Alexx O'Nell, Rajesh Jais",2021,133,"Comedies, Horror Movies, International Movies",netflix
Movie,Thunder Force,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby, Marcella Lowery, Melissa Ponzio",2021,107,"Action & Adventure, Comedies",netflix
Movie,Two Distant Strangers,"Joey Bada$$, Andrew Howard, Zaria",2021,32,Dramas,netflix
Movie,Story of Kale: When Someone's in Love,"Ardhito Pramono, Aurélie Moeremans, Arya Saloka, Roy Sungkono, Gilbert Pohan, Azizah Hanum, Tanta Ginting",2020,78,"Dramas, International Movies, Romantic Movies",netflix
TV Show,The Way of the Househusband,"Kenjiro Tsuda, Shizuka Ito, Kazuyuki Okitsu, M・A・O, Jun Fukushima, Kimiko Saito, Yoshimasa Hosoya, Masashi Nogawa, Junichi Yanagida, Hochu Otsuka, Atsuko Tanaka",2021,1,"Anime Series, International TV Shows",netflix
Movie,Dolly Parton: A MusiCares Tribute,Dolly Parton,2021,55,"Documentaries, Music & Musicals",netflix
TV Show,The Big Day,,2021,2,"International TV Shows, Reality TV, Romantic TV Shows",netflix
TV Show,The Wedding Coach,,2021,1,"Reality TV, Romantic TV Shows",netflix
TV Show,This Is a Robbery: The World's Biggest Art Heist,,2021,1,"Crime TV Shows, Docuseries, TV Mysteries",netflix
Movie,The Last Kids on Earth: Happy Apocalypse to You,"Nick Wolfhard, Charles Demers, Montse Hernandez, Garland Whitt, Bruce Campbell, Catherine O'Hara, Brian Drummond, Giles Panton",2021,92,"Children & Family Movies, Comedies",netflix
Movie,Coded Bias,,2020,86,Documentaries,netflix
Movie,Mandela,"Yogi Babu, Sheela Rajkumar, Sangili Murugan, G. M. Sundhar",2021,140,"Comedies, Dramas, International Movies",netflix
